               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.031351,            0.010503,           0.0064246,             0.49087,             0.52277,             0.46352,             0.31616,            0.031698,           0.0087219,            0.043341,           0.0082675,           0.0082675,           0.0082675
                  37,             0.03119,            0.010587,           0.0063717,             0.46941,             0.47606,             0.45546,             0.30505,              0.0328,            0.008643,            0.043891,            0.008218,            0.008218,            0.008218
                  38,            0.031508,            0.010511,           0.0063546,             0.47597,             0.52665,             0.45557,             0.30428,            0.031125,           0.0083493,            0.048567,           0.0081685,           0.0081685,           0.0081685
                  39,            0.031131,            0.010316,            0.006243,             0.50873,             0.46231,             0.47103,             0.32084,              0.0312,           0.0083373,            0.052025,            0.008119,            0.008119,            0.008119
                  40,            0.031082,            0.010547,            0.006228,             0.60488,             0.52638,             0.49514,             0.32815,            0.031399,           0.0084223,            0.060415,           0.0080695,           0.0080695,           0.0080695
                  41,            0.031104,            0.010368,           0.0059071,             0.48766,             0.52065,              0.4682,             0.31445,            0.031878,            0.008461,            0.061726,             0.00802,             0.00802,             0.00802
                  42,            0.030993,            0.010416,            0.005937,             0.48564,             0.53704,             0.47071,             0.32106,             0.03153,            0.008352,            0.054822,           0.0079705,           0.0079705,           0.0079705
                  43,            0.030873,            0.010444,           0.0060506,             0.62472,             0.51577,             0.51425,             0.34866,            0.030948,           0.0086021,            0.046304,            0.007921,            0.007921,            0.007921
                  44,             0.03086,            0.010276,           0.0058048,             0.49731,             0.54048,             0.49815,             0.33316,            0.030936,           0.0083491,            0.044338,           0.0078715,           0.0078715,           0.0078715
                  45,            0.030848,            0.010371,           0.0056442,             0.61654,             0.51037,             0.49875,              0.3255,            0.030891,           0.0086143,            0.043546,            0.007822,            0.007822,            0.007822
                  46,            0.030523,            0.010366,           0.0056802,             0.53352,             0.49581,             0.47821,             0.32498,            0.030619,           0.0085412,             0.03918,           0.0077725,           0.0077725,           0.0077725
                  47,            0.030455,            0.010235,           0.0054149,             0.58532,             0.48529,             0.48754,             0.33364,            0.030535,           0.0083459,             0.04319,            0.007723,            0.007723,            0.007723
                  48,             0.03067,             0.01021,           0.0053208,             0.55508,             0.49966,             0.48117,             0.32948,            0.029998,           0.0084396,            0.043682,           0.0076735,           0.0076735,           0.0076735
                  49,            0.030417,            0.010234,           0.0053503,             0.52036,             0.50727,             0.47903,             0.33123,            0.030062,           0.0085663,            0.044365,            0.007624,            0.007624,            0.007624
                  50,            0.030492,            0.010401,            0.005459,             0.53859,             0.46477,             0.46604,             0.31761,            0.030913,           0.0087333,              0.0501,           0.0075745,           0.0075745,           0.0075745
                  51,            0.030304,            0.010118,           0.0051258,             0.62269,              0.4802,             0.47073,             0.32301,            0.030972,           0.0086777,            0.051139,            0.007525,            0.007525,            0.007525
                  52,            0.030321,            0.010183,           0.0053578,             0.64091,             0.44275,             0.45524,             0.30952,            0.031131,           0.0089423,             0.05468,           0.0074755,           0.0074755,           0.0074755
                  53,            0.030065,            0.010169,           0.0052889,             0.50343,             0.45751,             0.46125,             0.31546,            0.030654,            0.008713,            0.052041,            0.007426,            0.007426,            0.007426
                  54,            0.030297,            0.010132,           0.0052448,             0.47819,             0.53241,             0.46818,             0.31949,            0.030826,           0.0084016,            0.051952,           0.0073765,           0.0073765,           0.0073765
